Name,URL,Zone,Difficulty,Rating,Reviewers,Length_km,Route type,Elevation_gain_m,Activities,Attractions,Suitabilities
Prairie Mountain,https://www.alltrails.com/trail/canada/alberta/prairie-mountain-trail?ref=result-card,Kananaskis Country Public Land Use Zone,moderate,4.5,1987,6.44,Out & back,665.99,"Hiking, Nature trips, Bird watching, Running","Forest, River, Views, Wildlife",
Jumpingpound Summit Trail,https://www.alltrails.com/trail/canada/alberta/jumpingpound-summit-road?ref=result-card,Kananaskis Country Public Land Use Zone,moderate,4.5,582,6.28,Out & back,413.92,"Hiking, Nature trips, Walking, Bird watching","Forest, Views, Wildlife",
Moose Mountain Trail,https://www.alltrails.com/trail/canada/alberta/moose-mountain-trail?ref=result-card,Kananaskis Country Public Land Use Zone,moderate,4.5,489,13.84,Out & back,765.96,"Hiking, Mountain biking, Nature trips, Walking, Bird watching, Running","Forest, Views, Wildlife",
Powderface Creek and Prairie Creek Trail Loop,https://www.alltrails.com/trail/canada/alberta/powderface-creek-and-prairie-creek-trail-loop?ref=result-card,Kananaskis Country Public Land Use Zone,moderate,4,520,13.52,Loop,520.9,"Hiking, Horseback riding, Mountain biking, Running","Forest, River, Views, Wildlife",
Wasootch Peak via Kananaskis Peak Route,https://www.alltrails.com/trail/canada/alberta/wasootch-peak?ref=result-card,Kananaskis Country Public Land Use Zone,hard,4.5,316,6.12,Out & back,868.98,"Hiking, Rock climbing, Bird watching","Forest, River, Views, Wildlife",
Prairie Mountain and Prairie Creek,https://www.alltrails.com/trail/canada/alberta/prairie-mountain-w-prairie-creek-decent?ref=result-card,Kananaskis Country Public Land Use Zone,hard,4.5,332,10.14,Loop,777.85,"Hiking, Nature trips, Bird watching, Running","Forest, Views, Wildlife",
Carnarvon Lake,https://www.alltrails.com/trail/canada/alberta/carnarvon-lake?ref=result-card,Kananaskis Country Public Land Use Zone,hard,4.5,163,20.44,Out & back,856.79,"Backpacking, Camping, Fishing, Hiking, Mountain biking, Nature trips, Bird watching","Forest, Lake, Views, Waterfall, Wildlife",
Mesa Butte,https://www.alltrails.com/trail/canada/alberta/mesa-butte?ref=result-card,Kananaskis Country Public Land Use Zone,moderate,4,218,8.05,Out & back,472.74,"Hiking, Horseback riding, Nature trips, Walking, Bird watching","Forest, Views",
Forgetmenot Mountain North Summit via Wildhorse Trail,https://www.alltrails.com/trail/canada/alberta/forgetmenot-mountain-north-summit-via-wildhorse-trail?ref=result-card,Kananaskis Country Public Land Use Zone,hard,4.5,87,10.94,Out & back,748.89,"Hiking, Nature trips, Walking","River, Views, Wildlife",
Elbow Valley Trail to Riverview Trail Loop,https://www.alltrails.com/trail/canada/alberta/elbow-valley-trail-to-riverview-trail-loop?ref=result-card,Kananaskis Country Public Land Use Zone,moderate,4,164,8.05,Loop,306.93,"Camping, Hiking, Nature trips, Walking, Bird watching","Forest, River, Views, Wildlife",
