,Name,URL,Zone,Difficulty,Rating,Reviews
0,Ram Creek Hot Springs,https://www.alltrails.com/explore/trail/canada/british-columbia/ram-creek-hot-springs?ref=result-card,"East Kootenay E, British Columbia",moderate,4,21
1,Whiteswan North Shore Trail Loop,https://www.alltrails.com/explore/trail/canada/british-columbia/whiteswan-north-shore-trail-loop?ref=result-card,Whiteswan Lake Provincial Park ,moderate,4,8
2,Ram Creek Hot Springs,https://www.alltrails.com/explore/trail/canada/british-columbia/ram-creek-hotsprings-from-ram-creek-road?ref=result-card,"East Kootenay E, British Columbia",moderate,5,1
3,Lussier Hot Springs [CLOSED],https://www.alltrails.com/explore/trail/canada/british-columbia/lussier-hot-springs?ref=result-card,Whiteswan Lake Provincial Park ,easy,4,10
0,Josephine Falls Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/josephine-falls-trail?ref=result-card,"Elkford, British Columbia",easy,4,53
1,Mount Wapiti,https://www.alltrails.com/explore/trail/canada/british-columbia/mount-wapiti?ref=result-card,"Elkford, British Columbia",hard,4,26
2,Boivin Creek Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/boivin-creek-trail?ref=result-card,"Elkford, British Columbia",moderate,4.5,17
3,Grizzly Ridge,https://www.alltrails.com/explore/trail/canada/british-columbia/grizzly-ridge?ref=result-card,"Regional District of East Kootenay, British Columbia",moderate,4.5,3
0,Gass Mountain to Galena Caves via Memory Lake Trail,https://www.alltrails.com/explore/trail/canada/alberta/gass-mountain-to-galena-caves?ref=result-card,Don Getty Wildland Provincial Park,moderate,4,5
1,Mount Gass,https://www.alltrails.com/explore/trail/canada/british-columbia/mt-gas-bc-route?ref=result-card,"Regional District of East Kootenay, British Columbia",hard,4.5,3
2,Twin Peaks via Cabin Ridge Trail,https://www.alltrails.com/explore/trail/canada/alberta/twin-peaks-via-cabin-ridge-trail?ref=result-card,"Elkford, British Columbia",moderate,4,3
0,Porcupine Hills Ridge Trail,https://www.alltrails.com/explore/trail/canada/alberta/porcupine-hills-ridge-trail?ref=result-card,"Ranchland No. 66, Alberta",easy,4,39
1,Mount Livingstone Trail,https://www.alltrails.com/explore/trail/canada/alberta/mount-livingstone-trail?ref=result-card,Mount Livingston Natural Area,moderate,3.5,7
2,Black Mountain Trail,https://www.alltrails.com/explore/trail/canada/alberta/black-mountain-trail?ref=result-card,Bobcat Creek Wildland Provincial Park,moderate,3,5
3,Coffin Mountain Loop,https://www.alltrails.com/explore/trail/canada/alberta/coffin-mountain-loop?ref=result-card,Mount Livingston Natural Area,moderate,3.5,3
4,Sheep Mountain Route,https://www.alltrails.com/explore/trail/canada/alberta/sheep-mountain-route?ref=result-card,Mount Livingston Natural Area,hard,0,0
5,Saddle Mountain Loop,https://www.alltrails.com/explore/trail/canada/alberta/saddle-mountain-loop?ref=result-card,Mount Livingston Natural Area,hard,0,0
6,Horseshoe Peak Trail,https://www.alltrails.com/explore/trail/canada/alberta/horseshoe-peak-trail?ref=result-card,Bobcat Creek Wildland Provincial Park,hard,1 Star,2
7,Coffin Mountain and Sheep Mountain Loop,https://www.alltrails.com/explore/trail/canada/alberta/coffin-sheep-mountain-loop?ref=result-card,Mount Livingston Natural Area,moderate,4,1
0,Cave creek campground via North Shore Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/cave-creek-campground-via-north-shore-trail?ref=result-card,Whiteswan Lake Provincial Park ,easy,4,5
1,Ptarmigan Lake Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/ptarmigan-lake-trail-canal-flats?ref=result-card,"Canal Flats, British Columbia",moderate,4.5,3
0,Connors Lake Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/connors-lake-trail?ref=result-card,Height of the Rockies Provincial Park,moderate,5,10
0,Raspberry Ridge Lookout,https://www.alltrails.com/explore/trail/canada/alberta/raspberry-ridge-lookout?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,moderate,4.5,244
1,Mount Burke Trail,https://www.alltrails.com/explore/trail/canada/alberta/mount-burke-trail?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,hard,4.5,196
2,Hailstone Butte Lookout,https://www.alltrails.com/explore/trail/canada/alberta/hailstone-butte-lookout?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,moderate,4.5,32
3,Etherington Baril Ridge Route,https://www.alltrails.com/explore/trail/canada/alberta/etherington-baril-ridge-route?ref=result-card,Etherington Creek Provincial Recreation Area,moderate,3.5,23
4,Upper Falls Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/upper-falls-trail?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,moderate,4,19
5,Windy Peak Hills,https://www.alltrails.com/explore/trail/canada/alberta/windy-peak-hills?ref=result-card,Willow Creek Public Land Use Zone,hard,4,31
6,Hell’s Ridge Route,https://www.alltrails.com/explore/trail/canada/alberta/hells-ridge-route?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,moderate,4,17
7,Sentinel Peak,https://www.alltrails.com/explore/trail/canada/alberta/hailstone-butte-sentinel-peak?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,hard,4,5
8,Sentinel Peak Trail to Iron Mountain Shortcut Loop,https://www.alltrails.com/explore/trail/canada/alberta/sentinel-peak-trail-to-iron-mountain-shortcut-loop?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,hard,3.5,6
9,Plateau Mountain,https://www.alltrails.com/explore/trail/canada/british-columbia/plateau-mountain?ref=result-card,Plateau Mountain Ecological Reserve,moderate,3.5,7
10,Cataract Creek,https://www.alltrails.com/explore/trail/canada/british-columbia/cataract-creek?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,hard,4,3
11,Mount Hornecker Peak,https://www.alltrails.com/explore/trail/canada/alberta/mount-hornecker-peak?ref=result-card,Mount Livingston Natural Area,moderate,4,5
12,Pasque Mountain ,https://www.alltrails.com/explore/trail/canada/alberta/pasque-mountain?ref=result-card,"Kananaskis Improvement, Alberta",moderate,4.5,2
13,Pasque Mountain Horseshoe,https://www.alltrails.com/explore/trail/canada/alberta/pasque-mountain-horseshoe?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,hard,4,7
14,Mount Hornecker Loop Trail,https://www.alltrails.com/explore/trail/canada/alberta/mount-hornecker-loop-trail?ref=result-card,Mount Livingston Natural Area,moderate,3,1
0,Bear Pond via Iron Creek Mountain Trail,https://www.alltrails.com/explore/trail/canada/alberta/bear-pond-ridge-route-via-iron-creek-mountain-trail?ref=result-card,Willow Creek Public Land Use Zone,easy,4,37
1,Indian Graves Ridge and Willow Ridge Trail,https://www.alltrails.com/explore/trail/canada/alberta/indian-graves-ridge?ref=result-card,Indian Graves Provincial Recreation Area,moderate,3.5,17
2,Stimpson Creek,https://www.alltrails.com/explore/trail/canada/alberta/stimpson-creek-out-amp-back--2?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,easy,4,9
3,Iron Lakes,https://www.alltrails.com/explore/trail/canada/alberta/iron-lakes?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,moderate,3,4
4,Johnson Creek Ridge Trail,https://www.alltrails.com/explore/trail/canada/alberta/johnson-creek-ridge-trail?ref=result-card,Willow Creek Public Land Use Zone,moderate,2.5,3
5,Corral Creek Mountain,https://www.alltrails.com/explore/trail/canada/alberta/corral-creek-mountain?ref=result-card,"Kananaskis Improvement, Alberta",hard,4.5,4
6,Willow Creek Hills,https://www.alltrails.com/explore/trail/canada/alberta/willow-creek-hills?ref=result-card,"Kananaskis Improvement, Alberta",moderate,5,1
0,Mist Mountain Trail,https://www.alltrails.com/explore/trail/canada/alberta/mist-mountain-trail?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,4.5,407
1,Mount Lipsett,https://www.alltrails.com/explore/trail/canada/alberta/mount-lipsett?ref=result-card,Elbow-Sheep Wildland Provincial Park,moderate,4.5,460
2,Mist Mountain Springs Trail,https://www.alltrails.com/explore/trail/canada/alberta/mist-mountain-trail--4?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,4.5,266
3,Running Rain Lake Trail,https://www.alltrails.com/explore/trail/canada/alberta/running-rain-lake-trail?ref=result-card,Elbow-Sheep Wildland Provincial Park,moderate,4,30
4,Mist Mountain via Mount Lipsett Trail,https://www.alltrails.com/explore/trail/canada/alberta/mist-mountain-via-mount-lipsett-trail?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,3,6
5,Eagle Ridge via Mist Mountain Trail & Nameless Ridge Route,https://www.alltrails.com/explore/trail/canada/alberta/eagle-ridge-via-mist-mountain-trail-nameless-ridge-route?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,4,2
0,Picklejar Lakes,https://www.alltrails.com/explore/trail/canada/alberta/pickle-jar-lakes?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,4.5,1025
1,Cat Creek Waterfall,https://www.alltrails.com/explore/trail/canada/alberta/cat-creek-waterfall?ref=result-card,"Kananaskis Improvement, Alberta",easy,4.5,326
2,Carnarvon Lake,https://www.alltrails.com/explore/trail/canada/alberta/carnarvon-lake?ref=result-card,Kananaskis Country Public Land Use Zone,hard,4.5,163
3,Mist Ridge,https://www.alltrails.com/explore/trail/canada/alberta/mist-ridge--2?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,4.5,65
4,Fir Creek Point via Grass Pass Trail,https://www.alltrails.com/explore/trail/canada/alberta/fir-creek-point-via-grass-pass-trail?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,moderate,4,64
5,Junction Hill,https://www.alltrails.com/explore/trail/canada/alberta/junction-hill?ref=result-card,Sheep River Provincial Park,moderate,4,76
6,Gunnery Mountain,https://www.alltrails.com/explore/trail/canada/alberta/gunnery-mountain--2?ref=result-card,Sheep River Provincial Park,moderate,4,50
7,Lineham Ridge,https://www.alltrails.com/explore/trail/canada/alberta/lineham-ridge?ref=result-card,Bluerock Wildland Provincial Park,moderate,4,30
8,Grass Pass and Bull Creek Hills Loop,https://www.alltrails.com/explore/trail/canada/alberta/grass-pass-bull-creek-hills-trail?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,hard,4,47
9,Lineham Ridge via Picklejar Lakes Trail,https://www.alltrails.com/explore/trail/canada/alberta/lineham-ridge-via-picklejar-lakes-trail?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,4,16
10,Holy Cross Mountain,https://www.alltrails.com/explore/trail/canada/alberta/holy-cross-mountain?ref=result-card,Sheep River Provincial Park,hard,4,16
11,Lower Cataract Creek,https://www.alltrails.com/explore/trail/canada/alberta/lower-cataract-creek?ref=result-card,Kananaskis Country Public Land Use Zone,moderate,4,22
12,Ride to Highwood Pass,https://www.alltrails.com/explore/trail/canada/alberta/ride-to-highwood-pass?ref=result-card,Sheep River Provincial Park,hard,5,17
13,Cat Creek Hills via Kananaskis Trail,https://www.alltrails.com/explore/trail/canada/alberta/cat-creek-hills-via-kananaskis-trail?ref=result-card,Kananaskis Country Public Land Use Zone,hard,4.5,13
14,Zephyr Creek/Painted Canyon Trail,https://www.alltrails.com/explore/trail/canada/alberta/zephyr-creek-painted-canyon-trail?ref=result-card,Kananaskis Country Public Land Use Zone,moderate,4,24
15,Loomis Creek Trail,https://www.alltrails.com/explore/trail/canada/alberta/loomis-creek-trail?ref=result-card,Sheep River Provincial Park,hard,4.5,8
16,Lake of the Horns,https://www.alltrails.com/explore/trail/canada/alberta/lake-of-the-horns--2?ref=result-card,Kananaskis Country Public Land Use Zone,hard,4.5,12
17,The Great Divide Trail: Baril to Robson,https://www.alltrails.com/explore/trail/canada/alberta/the-great-divide-trail-baril-to-robson?ref=result-card,Banff National Park,hard,4.5,3
18,Bull Creek Hills Loop,https://www.alltrails.com/explore/trail/canada/alberta/bull-creek-hills-loop?ref=result-card,Kananaskis Country Public Land Use Zone,hard,4,14
19,Odlum Ridge,https://www.alltrails.com/explore/trail/canada/alberta/odlum-ridge?ref=result-card,Sheep River Provincial Park,hard,3.5,8
20,Stony Ridge Route,https://www.alltrails.com/explore/trail/canada/alberta/stony-ridge-route?ref=result-card,Highwood Compound Provincial Recreation Area,hard,4.5,15
21,Fir Creek Point Loop via Grass Pass Trail ,https://www.alltrails.com/explore/trail/canada/alberta/fir-creek-point-loop-via-grass-pass-trail?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,moderate,4,11
22,Grassy Pass and Gunnery Creek Trail Loop,https://www.alltrails.com/explore/trail/canada/alberta/grassy-pass-and-gunnery-creek-trail?ref=result-card,Sheep River Provincial Park,moderate,5,3
23,Fir Creek,https://www.alltrails.com/explore/trail/canada/alberta/fir-creek?ref=result-card,"Longview, Alberta",moderate,4.5,4
24,Strawberry Hills Trail,https://www.alltrails.com/explore/trail/canada/alberta/strawberry-hills-trail?ref=result-card,"Kananaskis Improvement, Alberta",moderate,4,9
25,Mount Head,https://www.alltrails.com/explore/trail/canada/alberta/mount-head?ref=result-card,Sheep River Provincial Park,hard,4,2
26,Serendipity and Patterson's Peaks,https://www.alltrails.com/explore/trail/canada/alberta/serendipity-and-pattersons-peaks?ref=result-card,Sheep River Provincial Park,hard,3,5
27,Mount Bishop,https://www.alltrails.com/explore/trail/canada/alberta/mount-bishop?ref=result-card,Sheep River Provincial Park,hard,3,2
28,Fording River Pass Trail,https://www.alltrails.com/explore/trail/canada/alberta/fording-river-trail?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,moderate,4,6
29,Odlum Pond Trail,https://www.alltrails.com/explore/trail/canada/alberta/odlum-pond-trail?ref=result-card,Sheep River Provincial Park,hard,4.5,2
30,Cat Creek Hills Trail,https://www.alltrails.com/explore/trail/canada/alberta/cat-creek-hills-trail?ref=result-card,"Kananaskis Improvement, Alberta",moderate,5,1
31,Mount Mann,https://www.alltrails.com/explore/trail/canada/alberta/mount-mann?ref=result-card,Don Getty Wildland Provincial Park,moderate,4,3
0,Joffery Creeks Trail to Limestone Lakes Route,https://www.alltrails.com/explore/trail/canada/british-columbia/joffery-creeks-trail-to-limstone-lakes-route?ref=result-card,Height of the Rockies Provincial Park,hard,5,3
1,Turbine Canyon Campground via Beatty Lake Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/turbine-canyon-campground-via-beatty-lake-trail?ref=result-card,Height of the Rockies Provincial Park,moderate,5,3
2,Beaty Lake Campground via Beaty Lake Trail,https://www.alltrails.com/explore/trail/canada/alberta/beaty-lake-campground-via-beaty-lake-trail?ref=result-card,Height of the Rockies Provincial Park,moderate,4.5,10
3,Mount Putnik from Three Isle Lake Camp,https://www.alltrails.com/explore/trail/canada/alberta/mount-putnik-from-three-isle-lake-camp?ref=result-card,Peter Lougheed Provincial Park,hard,0,0
4,Mt. Mcharg-Worthington from Three Isle Lake Campground,https://www.alltrails.com/explore/trail/canada/alberta/mt-mcharg-worthington-from-three-isle-lake-campground?ref=result-card,Peter Lougheed Provincial Park,hard,5,2
5,Ralph Lake Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/ralph-lake-trail?ref=result-card,Height of the Rockies Provincial Park,moderate,5,1
6,Palliser River Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/palliser-river-trail?ref=result-card,Height of the Rockies Provincial Park,hard,5,1
7,Queen Mary Lake Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/queen-mary-lake-trail?ref=result-card,Height of the Rockies Provincial Park,hard,5,2
0,Ptarmigan Cirque,https://www.alltrails.com/explore/trail/canada/alberta/ptarmigan-cirque?ref=result-card,Peter Lougheed Provincial Park,moderate,4.5,1142
1,Sarrail Ridge via Rawson Lake Trail,https://www.alltrails.com/explore/trail/canada/alberta/sarrail-ridge-via-rawson-lake-trail?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,1003
2,Rawson Lake and Upper Kananaskis Lake Trail,https://www.alltrails.com/explore/trail/canada/alberta/rawson-lake-and-upper-kananaskis-lake-trail?ref=result-card,Peter Lougheed Provincial Park,moderate,4.5,975
3,King Creek Ridge,https://www.alltrails.com/explore/trail/canada/alberta/king-creek-trail?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,861
4,Edworthy Falls via Elbow Lake Trail,https://www.alltrails.com/explore/trail/canada/alberta/edworthy-falls-via-elbow-lake-trail?ref=result-card,Elbow-Sheep Wildland Provincial Park,easy,4.5,563
5,Pocaterra Ridge,https://www.alltrails.com/explore/trail/canada/alberta/pocaterra-ridge?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,575
6,Upper Kananaskis Lake Trail,https://www.alltrails.com/explore/trail/canada/alberta/upper-kananaskis-lake-trail?ref=result-card,Peter Lougheed Provincial Park,moderate,4.5,507
7,Blackshale Suspension Bridge via Black Prince,https://www.alltrails.com/explore/trail/canada/alberta/blackshale-suspension-bridge-via-black-prince?ref=result-card,Peter Lougheed Provincial Park,easy,4,430
8,Black Prince Cirque Interpretive Trail to Warspite Lake,https://www.alltrails.com/explore/trail/canada/alberta/black-prince-cirque-interpretive-trail?ref=result-card,Peter Lougheed Provincial Park,easy,4,438
9,South Pocaterra Ridge,https://www.alltrails.com/explore/trail/canada/alberta/south-pocaterra-ridge--3?ref=result-card,Peter Lougheed Provincial Park,moderate,4.5,334
10,Rae Glacier Trail,https://www.alltrails.com/explore/trail/canada/alberta/rae-glacier-trail?ref=result-card,Elbow-Sheep Wildland Provincial Park,moderate,4.5,281
11,South Lawson Peak ,https://www.alltrails.com/explore/trail/canada/alberta/south-end-of-lawson?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,423
12,Arethusa Cirque Route,https://www.alltrails.com/explore/trail/canada/alberta/arethusa-cirque-route?ref=result-card,Peter Lougheed Provincial Park,moderate,4.5,270
13,Elbow Lake Loop,https://www.alltrails.com/explore/trail/canada/alberta/elbow-lake-loop?ref=result-card,Elbow-Sheep Wildland Provincial Park,easy,4.5,273
14,Pocaterra Cirque,https://www.alltrails.com/explore/trail/canada/alberta/pocaterra-cirque?ref=result-card,Peter Lougheed Provincial Park,moderate,4,204
15,Elbow Lake and Rae Glacier,https://www.alltrails.com/explore/trail/canada/alberta/elbow-lake-and-rae-glacier?ref=result-card,Elbow-Sheep Wildland Provincial Park,moderate,4.5,202
16,Upper Kananaskis Lake Trail: Short Version,https://www.alltrails.com/explore/trail/canada/alberta/upper-kananaskis-lake-trail-short-version?ref=result-card,Peter Lougheed Provincial Park,easy,4.5,232
17,Little Arethusa Route,https://www.alltrails.com/explore/trail/canada/alberta/little-arethusa-route?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,176
18,Blackshale Suspension Bridge,https://www.alltrails.com/explore/trail/canada/alberta/blackshale-suspension-bridge?ref=result-card,Peter Lougheed Provincial Park,easy,4,180
19,Interlakes Trail,https://www.alltrails.com/explore/trail/canada/alberta/interlakes-trail?ref=result-card,Peter Lougheed Provincial Park,moderate,4.5,199
20,Elbow Pass Trail to Tombstone Campground and Lake,https://www.alltrails.com/explore/trail/canada/alberta/elbow-pass-trail-to-tombstone-campground-lake?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,4.5,106
