,Unnamed: 0,Name,URL,Zone,Difficulty,Rating,Reviews,Elevation_gain_m,Traffic,Activities,Attractions,Suitabilities,Backpacking,Birdwatching,Camping,Fishing,Hiking,Horsebackriding,Mountainbiking,Naturetrips,Paddlesports,Roadbiking,Rockclimbing,Running,Skiing,Snowshoeing,Walking,Beach,Cave,Citywalk,Forest,Historicsite,Hotsprings,Lake,Railstrails,River,Views,Waterfall,Wildlife,Dogfriendly,Kidfriendly,Partiallypaved,Paved,Strollerfriendly,Wheelchairfriendly
0,0,Ram Creek Hot Springs,https://www.alltrails.com/explore/trail/canada/british-columbia/ram-creek-hot-springs?ref=result-card,"East Kootenay E, British Columbia",moderate,4,21,76.81,NA,"Fishing, Hiking, Nature trips, Walking","Forest, Lake, Views","Kid friendly, Dog friendly",0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0
1,1,Whiteswan North Shore Trail Loop,https://www.alltrails.com/explore/trail/canada/british-columbia/whiteswan-north-shore-trail-loop?ref=result-card,Whiteswan Lake Provincial Park ,moderate,4,8,400.81,lightly,"Hiking, Nature trips","Forest, Views",,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,2,Ram Creek Hot Springs,https://www.alltrails.com/explore/trail/canada/british-columbia/ram-creek-hotsprings-from-ram-creek-road?ref=result-card,"East Kootenay E, British Columbia",moderate,5,1,197.82,lightly,"Hiking, Running","Forest, Wildlife",Dog friendly,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
3,3,Lussier Hot Springs [CLOSED],https://www.alltrails.com/explore/trail/canada/british-columbia/lussier-hot-springs?ref=result-card,Whiteswan Lake Provincial Park ,easy,4,10,433.73,lightly,"Hiking, Nature trips","Forest, Lake, Wildlife","Kid friendly, Dog friendly",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0
4,0,Josephine Falls Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/josephine-falls-trail?ref=result-card,"Elkford, British Columbia",easy,4,53,621.79,moderately,"Hiking, Nature trips, Walking, Bird watching","Forest, Views",,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,1,Mount Wapiti,https://www.alltrails.com/explore/trail/canada/british-columbia/mount-wapiti?ref=result-card,"Elkford, British Columbia",hard,4,26,599.85,moderately,Hiking,"Forest, Views, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
6,2,Boivin Creek Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/boivin-creek-trail?ref=result-card,"Elkford, British Columbia",moderate,4.5,17,468.78,lightly,"Backpacking, Hiking, Mountain biking","Forest, Wildlife",,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,3,Grizzly Ridge,https://www.alltrails.com/explore/trail/canada/british-columbia/grizzly-ridge?ref=result-card,"Regional District of East Kootenay, British Columbia",moderate,4.5,3,354.79,moderately,Hiking,"Forest, Views, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
8,0,Gass Mountain to Galena Caves via Memory Lake Trail,https://www.alltrails.com/explore/trail/canada/alberta/gass-mountain-to-galena-caves?ref=result-card,Don Getty Wildland Provincial Park,moderate,4,5,1115.87,lightly,"Hiking, Mountain biking","River, Views",,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
9,1,Mount Gass,https://www.alltrails.com/explore/trail/canada/british-columbia/mt-gas-bc-route?ref=result-card,"Regional District of East Kootenay, British Columbia",hard,4.5,3,275.84,NA,"Hiking, Nature trips, Walking",Views,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,2,Twin Peaks via Cabin Ridge Trail,https://www.alltrails.com/explore/trail/canada/alberta/twin-peaks-via-cabin-ridge-trail?ref=result-card,"Elkford, British Columbia",moderate,4,3,432.82,lightly,"Hiking, Nature trips, Walking, Running","Lake, Views, Wildlife",,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
11,0,Porcupine Hills Ridge Trail,https://www.alltrails.com/explore/trail/canada/alberta/porcupine-hills-ridge-trail?ref=result-card,"Ranchland No. 66, Alberta",easy,4,39,15.85,lightly,"Nature trips, Walking, Running",,Kid friendly,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,1,Mount Livingstone Trail,https://www.alltrails.com/explore/trail/canada/alberta/mount-livingstone-trail?ref=result-card,Mount Livingston Natural Area,moderate,3.5,7,19.81,moderately,"Walking, Running","Views, City walk, Historic site","Kid friendly, Partially paved",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
13,2,Black Mountain Trail,https://www.alltrails.com/explore/trail/canada/alberta/black-mountain-trail?ref=result-card,Bobcat Creek Wildland Provincial Park,moderate,3,5,243.84,NA,"Hiking, Mountain biking, Walking","Lake, Wildlife","Kid friendly, Dog friendly",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
14,3,Coffin Mountain Loop,https://www.alltrails.com/explore/trail/canada/alberta/coffin-mountain-loop?ref=result-card,Mount Livingston Natural Area,moderate,3.5,3,280.72,NA,"Hiking, Nature trips, Walking, Running","River, Views, Waterfall",,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
15,4,Sheep Mountain Route,https://www.alltrails.com/explore/trail/canada/alberta/sheep-mountain-route?ref=result-card,Mount Livingston Natural Area,hard,0,0,448.97,NA,"Hiking, Horseback riding, Nature trips","Views, Waterfall",,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
16,5,Saddle Mountain Loop,https://www.alltrails.com/explore/trail/canada/alberta/saddle-mountain-loop?ref=result-card,Mount Livingston Natural Area,hard,0,0,804.98,lightly,Hiking,"Forest, Views, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
17,6,Horseshoe Peak Trail,https://www.alltrails.com/explore/trail/canada/alberta/horseshoe-peak-trail?ref=result-card,Bobcat Creek Wildland Provincial Park,hard,1 Star,2,504.75,NA,Hiking,"Forest, River, Views, Waterfall, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
18,7,Coffin Mountain and Sheep Mountain Loop,https://www.alltrails.com/explore/trail/canada/alberta/coffin-sheep-mountain-loop?ref=result-card,Mount Livingston Natural Area,moderate,4,1,1081.74,lightly,Hiking,"Forest, River, Views, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
19,0,Cave creek campground via North Shore Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/cave-creek-campground-via-north-shore-trail?ref=result-card,Whiteswan Lake Provincial Park ,easy,4,5,744.93,NA,"Hiking, Nature trips","Forest, Views, Wildlife",,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
20,1,Ptarmigan Lake Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/ptarmigan-lake-trail-canal-flats?ref=result-card,"Canal Flats, British Columbia",moderate,4.5,3,255.73,lightly,Hiking,"Forest, River, Views, Waterfall, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
