,Name,URL,Zone,Difficulty,Rating,Reviews,Elevation_gain_m,Traffic,Activities,Attractions,Suitabilities,Backpacking,Birdwatching,Camping,Fishing,Hiking,Horsebackriding,Mountainbiking,Naturetrips,Paddlesports,Roadbiking,Rockclimbing,Running,Scenicdriving,Skiing,Snowshoeing,Walking,Beach,Cave,Citywalk,Forest,Historicsite,Hotsprings,Lake,River,Views,Waterfall,Wildlife,Dogfriendly,Kidfriendly,Partiallypaved,Paved,Strollerfriendly,Wheelchairfriendly
0,Dennison Lake Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/dennison-lake?ref=result-card,"North Okanagan D, British Columbia",moderate,3.5,10,386.79,NA,"Hiking, Walking","Forest, Lake, Views",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
1,Eagle Cliffs Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/eagle-cliffs-trail?ref=result-card,"North Okanagan D, British Columbia",moderate,4.0,9,391.97,lightly,"Hiking, Nature trips, Walking, Bird watching, Running","Forest, Lake, Views, Wildlife",,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
2,Camels Hump,https://www.alltrails.com/explore/trail/canada/british-columbia/humped-camels-hump?ref=result-card,"North Okanagan D, British Columbia",moderate,4.5,4,402.95,lightly,"Hiking, Nature trips, Bird watching","Forest, Views, Wildlife",,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
3,Pinnacle Lake Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/afternoon-hike?ref=result-card,"North Okanagan E, British Columbia",hard,5.0,6,517.86,NA,"Hiking, Running","Forest, Lake, Views",,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
4,Monashee Lake Trail via Monashee Creek Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/monashee-lake-trail-via-monashee-creek-trail?ref=result-card,"North Okanagan E, British Columbia",hard,4.0,8,992.73,NA,"Hiking, Running","Forest, Lake, Views",,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
5,Saddle Mountain Lookout,https://www.alltrails.com/explore/trail/canada/british-columbia/saddle-mountain-lookout?ref=result-card,Monashee Mountain,hard,4.5,26,806.81,lightly,Hiking,"Forest, Views, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
6,Nakusp Loop,https://www.alltrails.com/explore/trail/canada/british-columbia/around-town?ref=result-card,"Nakusp, British Columbia",easy,4.5,3,99.97,moderately,"Road biking, Walking, Running","Views, City walk","Kid friendly, Partially paved",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
7,Kuskanax Creek Nakusp Hotsprings Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/kuskanax-creek-nakusp-hotsprings-trail?ref=result-card,"Central Kootenay K, British Columbia",moderate,4.0,17,810.77,moderately,"Hiking, Horseback riding, Mountain biking, Nature trips, Snowshoeing, Walking, Bird watching, Running","Forest, Hot springs, River, Views, Waterfall, Wildlife","Kid friendly, Dog friendly",0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0
8,Summit Lake ,https://www.alltrails.com/explore/trail/canada/british-columbia/summit-lake?ref=result-card,"Central Kootenay K, British Columbia",moderate,3.0,1,58.83,NA,"Hiking, Horseback riding, Mountain biking","Lake, Views","Kid friendly, Stroller friendly",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
9,Box Lake,https://www.alltrails.com/explore/trail/canada/british-columbia/box-lake?ref=result-card,"Central Kootenay K, British Columbia",easy,4.5,3,78.94,lightly,Hiking,"Forest, Lake, Views",Kid friendly,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
10,Wilson Creek Falls Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/wilson-creek-falls-trail?ref=result-card,"Central Kootenay H, British Columbia",easy,4.5,27,116.74,NA,"Hiking, Walking","Views, Waterfall",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
11,Alps Alturas Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/alps-alturas-trail?ref=result-card,"New Denver, British Columbia",hard,3.5,6,979.93,moderately,"Hiking, Running","Forest, Views, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
12,Fry Creek Canyon Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/fry-creek-canyon-trail?ref=result-card,Purcell Wilderness Conservancy Provincial Park,hard,4.5,5,1001.88,lightly,"Backpacking, Hiking","Forest, River, Views, Wildlife",,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
13,Twin Lakes,https://www.alltrails.com/explore/trail/canada/british-columbia/twin-lakes?ref=result-card,"North Okanagan E, British Columbia",hard,4.5,39,1456.94,lightly,"Backpacking, Camping, Hiking, Nature trips","Forest, Lake, Views",Dog friendly,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
14,Mark Berger Traverse,https://www.alltrails.com/explore/trail/canada/british-columbia/mark-berger-traverse?ref=result-card,"North Okanagan E, British Columbia",hard,5.0,3,1193.9,lightly,"Backpacking, Hiking","Forest, Lake, Views, Wildlife",,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
15,Halfway River to Hot Springs,https://www.alltrails.com/explore/trail/canada/british-columbia/halfway-hotsprings?ref=result-card,"Central Kootenay K, British Columbia",moderate,4.5,6,379.78,lightly,"Hiking, Nature trips, Snowshoeing, Bird watching","Hot springs, River, Wildlife",,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
16,Kuskanax Mountain Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/kuskanax-mountain?ref=result-card,"Central Kootenay K, British Columbia",hard,4.0,8,586.74,NA,"Hiking, Bird watching","Views, Wildlife",,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
17,Ride On,https://www.alltrails.com/explore/trail/canada/british-columbia/ride-on?ref=result-card,"Central Kootenay K, British Columbia",moderate,4.0,1,335.89,lightly,"Hiking, Mountain biking","Forest, Views",,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
18,St. Leon Hot Springs [CLOSED / PRIVATE PROPERTY],https://www.alltrails.com/explore/trail/canada/british-columbia/st-leon-hot-springs?ref=result-card,Lardeau Range,easy,4.0,17,22.86,lightly,"Hiking, Walking","Forest, Hot springs, River, Views",Kid friendly,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0
19,Turn 'Er Up,https://www.alltrails.com/explore/trail/canada/british-columbia/turn-er-up?ref=result-card,"Central Kootenay K, British Columbia",moderate,4.0,1,178.92,lightly,"Hiking, Mountain biking","Forest, Views",,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20,Kimbol Lake,https://www.alltrails.com/explore/trail/canada/british-columbia/kimbol-lake?ref=result-card,"Nakusp, British Columbia",moderate,4.5,3,584.91,lightly,"Hiking, Bird watching","Forest, Lake, Views, Wildlife",,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
21,Jumbo Pass Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/jumbo-pass-trail?ref=result-card,"Central Kootenay D, British Columbia",moderate,4.5,32,809.85,lightly,"Hiking, Nature trips, Walking, Bird watching","Forest, Views, Wildlife",Dog friendly,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
22,Monica Meadows Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/monica-meadows-trail?ref=result-card,Monica Meadows Recreation Site,moderate,5.0,12,630.94,lightly,"Hiking, Bird watching","Lake, Views, Wildlife",Kid friendly,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
23,Jumbo Pass Trail via Panorama,https://www.alltrails.com/explore/trail/canada/british-columbia/jumbo-passtrail-via-panorama?ref=result-card,Kootenay National Park,moderate,4.5,32,711.71,lightly,"Hiking, Nature trips, Bird watching","Forest, River, Views, Wildlife",Dog friendly,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0
24,Macbeth Icefield Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/macbeth-icefield-trail?ref=result-card,Macbeth Icefield Recreation Site,hard,4.5,11,1477.98,lightly,"Hiking, Rock climbing, Bird watching","Lake, Waterfall, Wildlife",,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
25,Valley Loop,https://www.alltrails.com/explore/trail/canada/british-columbia/valley-loop?ref=result-card,"Invermere, British Columbia",easy,4.5,59,156.97,lightly,"Hiking, Mountain biking, Nature trips, Walking, Running","River, Views",,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
26,Mount Brewer,https://www.alltrails.com/explore/trail/canada/british-columbia/mount-brewer?ref=result-card,"East Kootenay F, British Columbia",hard,5.0,7,958.9,lightly,Hiking,"Forest, River, Views, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
27,Brewer Lake,https://www.alltrails.com/explore/trail/canada/british-columbia/brewer-lake?ref=result-card,"East Kootenay F, British Columbia",hard,4.5,12,597.71,lightly,Hiking,"Forest, Lake, Views, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
28,Cox Creek Trail to Lynx Loop Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/cox-creek-trail-to-lynx-loop-trail?ref=result-card,"East Kootenay G, British Columbia",moderate,3.5,19,435.86,moderately,"Hiking, Mountain biking","Forest, Views, Wildlife",,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
29,Taynton Trail to Mount Goldie Route to Crazy Train,https://www.alltrails.com/explore/trail/canada/british-columbia/taynton-trail-to-mount-goldie-route-to-crazy-train?ref=result-card,"Invermere, British Columbia",hard,4.0,9,1238.71,lightly,Hiking,"Forest, Views, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
30,Mount Nelson Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/mount-nelson-trail?ref=result-card,"East Kootenay F, British Columbia",hard,3.5,2,1896.77,lightly,"Hiking, Nature trips","Forest, Views, Wildlife",,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
31,Hale Hut via Placer Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/hale-hut-via-placer-trail?ref=result-card,"East Kootenay F, British Columbia",moderate,4.0,6,247.8,moderately,Hiking,"Forest, River, Views, Wildlife",Kid friendly,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
32,"Panorama Mountain Village - Summit, Elkhorn, Cox Creek, and Lynx Loop Trail",https://www.alltrails.com/explore/trail/canada/british-columbia/panorama-mountain-village-summit-elkhorn-cox-creek-and-lynx-loop-trail?ref=result-card,"East Kootenay F, British Columbia",moderate,3.5,2,475.79,moderately,"Hiking, Mountain biking","Views, Wildlife",,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
33,Rocking Horse Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/rocking-horse-trail?ref=result-card,"East Kootenay F, British Columbia",moderate,0.0,0,94.79,moderately,Mountain biking,"Forest, Views, Wildlife",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
34,Hopeful Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/hopeful-trail?ref=result-card,"East Kootenay F, British Columbia",hard,5.0,1,1670.91,moderately,"Hiking, Mountain biking, Running","Forest, Views, Wildlife",,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
35,Moose Powder Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/moose-powder-trail?ref=result-card,"East Kootenay F, British Columbia",hard,0.0,0,0.0,moderately,Mountain biking,"Forest, Views, Wildlife",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
36,Crazy Train Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/crazy-train-trail?ref=result-card,"East Kootenay F, British Columbia",hard,0.0,0,0.0,moderately,Mountain biking,"Forest, Views, Wildlife",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
37,Insanity Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/insanity-trail?ref=result-card,"East Kootenay F, British Columbia",hard,0.0,0,0.0,moderately,Mountain biking,"Forest, Views, Wildlife",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
38,Quadzilla Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/quadzilla-trail?ref=result-card,"East Kootenay F, British Columbia",hard,0.0,0,0.0,moderately,Mountain biking,"Forest, Views, Wildlife",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
39,Bazooka Joe Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/bazooka-joe-trail?ref=result-card,"East Kootenay F, British Columbia",moderate,0.0,0,30.78,moderately,Mountain biking,"Forest, Views, Wildlife",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
40,Kingfisher Forge Snowmobile Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/kingfisher-forge-snowmobile-trail-to-mara-mountain?ref=result-card,"Enderby, British Columbia",hard,4.0,2,1666.95,NA,,Views,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,Hidden Lake Paddle,https://www.alltrails.com/explore/trail/canada/british-columbia/hidden-lake-paddle?ref=result-card,Hidden Lake Recreation Site,easy,0.0,0,68.88,lightly,"Camping, Paddle sports","Lake, Views, Wildlife",,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
42,Spectrum Lake,https://www.alltrails.com/explore/trail/canada/british-columbia/spectrum-lake?ref=result-card,Monashee Provincial Park,moderate,4.5,30,440.74,lightly,"Hiking, Nature trips, Running","Forest, Lake, Views, Wildlife",,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
43,Spectrum Lake to Little and Big Peters Lake,https://www.alltrails.com/explore/trail/canada/british-columbia/spectrum-lake-to-little-peters-and-big-peters-lake?ref=result-card,Monashee Provincial Park,hard,4.5,5,1035.71,lightly,"Backpacking, Camping, Fishing, Hiking","Forest, Lake, Views, Waterfall, Wildlife",,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0
44,Big Peters Lake to Margie Lake,https://www.alltrails.com/explore/trail/canada/british-columbia/big-peters-lake-to-margie-lake?ref=result-card,Monashee Provincial Park,moderate,5.0,1,198.73,lightly,"Backpacking, Hiking","Forest, Lake, Views, Wildlife",,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
45,Big Peters Lake to Mount Fosthall,https://www.alltrails.com/explore/trail/canada/british-columbia/big-peters-lake-to-mount-fosthall?ref=result-card,Monashee Provincial Park,hard,4.0,3,1010.72,lightly,"Backpacking, Hiking","Forest, Lake, Views, Wildlife",,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
46,Big Peters Lake to Fawn Lake,https://www.alltrails.com/explore/trail/canada/british-columbia/big-peters-lake-to-fawn-lake?ref=result-card,Monashee Provincial Park,moderate,5.0,1,355.7,lightly,"Backpacking, Hiking","Forest, Lake, Views, Wildlife",,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
47,Halfway Hot Springs,https://www.alltrails.com/explore/trail/canada/british-columbia/halfway-hot-springs?ref=result-card,"Central Kootenay K, British Columbia",easy,4.5,11,71.93,moderately,"Camping, Hiking","Forest, Hot springs, River",,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
48,Lake of the Hanging Glacier,https://www.alltrails.com/explore/trail/canada/british-columbia/lake-of-the-hanging-glacier?ref=result-card,"East Kootenay G, British Columbia",hard,5.0,57,946.71,moderately,"Backpacking, Camping, Hiking","Forest, Lake, River, Views, Waterfall",,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
49,Welsh Lakes,https://www.alltrails.com/explore/trail/canada/british-columbia/welsh-lakes?ref=result-card,"East Kootenay G, British Columbia",moderate,4.5,25,552.91,lightly,"Hiking, Walking","Forest, Lake, River, Views, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
50,Mount Bruce,https://www.alltrails.com/explore/trail/canada/british-columbia/mount-bruce?ref=result-card,"East Kootenay G, British Columbia",moderate,4.5,5,663.85,NA,"Hiking, Nature trips","Forest, Views, Wildlife",,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
51,Welsh Creek Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/welsh-creek-trail?ref=result-card,"East Kootenay G, British Columbia",moderate,4.5,3,493.78,moderately,"Backpacking, Hiking, Nature trips","Forest, Lake, River, Views, Waterfall, Wildlife",,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0
52,Harlech Peak and Merioneth Peak,https://www.alltrails.com/explore/trail/canada/british-columbia/harlech-peak-and-merioneth-peak?ref=result-card,"East Kootenay G, British Columbia",hard,0.0,0,1025.96,lightly,Hiking,"Forest, River, Views, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
53,Sicamous Creek Falls Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/sicamous-creek-falls-trail?ref=result-card,"Columbia-Shuswap Regional, British Columbia",easy,4.0,27,11.89,moderately,"Nature trips, Walking","Forest, River, Views, Waterfall","Kid friendly, Dog friendly",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0
54,The Lizard,https://www.alltrails.com/explore/trail/canada/british-columbia/the-lizard?ref=result-card,"Sicamous, British Columbia",moderate,3.5,22,132.89,moderately,"Hiking, Mountain biking, Nature trips, Snowshoeing","Forest, Views",,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
55,Owlhead Snowmobile Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/owlhead-snowmobile-trail?ref=result-card,"Sicamous, British Columbia",hard,3.5,6,1976.93,NA,,"Views, Wildlife",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
56,Joss Mountain Trail: Western Approach,https://www.alltrails.com/explore/trail/canada/british-columbia/joss-mountain-west-approach?ref=result-card,"North Okanagan F, British Columbia",moderate,5.0,15,876.0,moderately,"Backpacking, Hiking, Running","Forest, Views",,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
57,Mount McCrae Lake Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/mount-mccrae-lake-trail?ref=result-card,"Columbia-Shuswap B, British Columbia",moderate,4.5,15,438.0,NA,Hiking,"Lake, Views",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
